GENDER,CGPA,ACTIVE BACKLOG,COMMUNICATION SKILL,CODING SKILL,APTITUDE SKILLS,APPLIED PROFILE,PROJECT,INTERNSHIP,PLACED
Male,8.89,No,10,5,9,"DATA SCIENTIST/ANALYST, MANAGEMENT, CORE",Yes,Yes,No
Male,8.96,No,8,5,9,CORE,Yes,Yes,No
Male,8.58,No,7,5,8,"MANAGEMENT, CORE",No,Yes,No
Male,8.65,No,10,5,7,CORE,Yes,No,No
Male,7.71,No,6,6,8,"DATA SCIENTIST/ANALYST, CORE",Yes,Yes,No
Male,7.76,No,7,1,6,CORE,Yes,Yes,Yes
Male,9.27,No,5,5,6,DATA SCIENTIST/ANALYST,Yes,No,Yes
Male,9.11,No,7,8,6,DATA SCIENTIST/ANALYST,Yes,Yes,Yes
Male,8.13,No,6,7,6,"SDE, DATA SCIENTIST/ANALYST",Yes,No,Yes
Male,9.16,No,7,7,8,"DATA SCIENTIST/ANALYST, MANAGEMENT, CORE",Yes,Yes,Yes
Male,9.26,No,6,5,8,CORE,Yes,Yes,Yes
Male,8.49,No,8,2,7,CORE,Yes,Yes,No
Male,7.86,No,10,7,8,MANAGEMENT,No,No,Yes
Male,8.94,No,8,2,8,CORE,Yes,Yes,Yes
Male,8.34,No,8,6,9,"DATA SCIENTIST/ANALYST, CORE",Yes,No,No
Male,8.65,No,6,6,8,SDE,No,No,Yes
